Año;Mês;;TOTAL;Domestico;Comécio y Industria;Servicios Ayuntamiento
2020;     Diciembre  ;;7.232.049  ;5.357.801  ;1.384.486  ;489.762  
2021;     Enero  ;;7.506.368  ;5.801.619  ;1.331.520  ;373.229  
2021;     Febrero  ;;7.037.690  ;5.380.191  ;1.350.078  ;307.421  
2021;     Marzo  ;;7.353.956  ;5.684.536  ;1.335.407  ;334.013  
2021;     Abril  ;;7.077.270  ;5.335.022  ;1.434.352  ;307.896  
2021;     Mayo  ;;7.368.701  ;5.622.312  ;1.363.888  ;382.501  
2021;     Junio  ;;7.021.956  ;5.015.900  ;1.582.401  ;423.655  
2021;     Julio  ;;8.193.616  ;5.933.232  ;1.725.502  ;534.882  
2021;     Agosto  ;;7.327.226  ;4.844.807  ;1.904.688  ;577.731  
2021;     Septiembre  ;;6.872.789  ;4.559.646  ;1.703.837  ;609.306  
2021;     Octubre  ;;7.048.456  ;4.634.836  ;1.907.551  ;506.069  
2021;     Noviembre  ;;7.733.517  ;5.407.637  ;1.830.662  ;495.218  
2021;     Diciembre  ;;7.497.768  ;5.163.553  ;1.909.365  ;424.850  
2022;     Enero  ;;7.406.657  ;5.352.361  ;1.652.877  ;401.419  
2022;     Febrero  ;;7.170.995  ;5.096.205  ;1.682.740  ;392.050  
2022;     Marzo  ;;4.174.833  ;2.671.506  ;1.235.896  ;267.431  
2022;     Abril  ;;10.535.754  ;7.699.535  ;2.325.142  ;511.077  
2022;     Mayo  ;;7.680.800  ;5.432.494  ;1.832.889  ;415.417  
2022;     Junio  ;;7.762.958  ;5.187.665  ;2.139.791  ;435.502  
2022;     Julio  ;;8.393.688  ;5.560.936  ;2.191.187  ;641.565  
2022;     Agosto  ;;7.933.710  ;5.005.335  ;2.314.755  ;613.620  
2022;     Septiembre  ;;7.470.731  ;4.753.230  ;2.071.078  ;646.423  
2022;     Octubre  ;;7.327.415  ;4.656.485  ;2.171.008  ;499.922  
2022;     Noviembre  ;;7.890.783  ;5.392.368  ;1.997.128  ;501.287  
2022;     Diciembre  ;;7.750.661  ;5.176.403  ;2.159.832  ;414.426  
2023;     Enero  ;;7.559.217  ;5.390.723  ;1.801.246  ;367.248  
2023;     Febrero  ;;7.427.664  ;5.133.573  ;1.956.365  ;337.726  
2023;     Marzo  ;;7.752.116  ;5.485.354  ;1.897.033  ;369.729  
2023;     Abril  ;;7.622.172  ;5.223.885  ;2.094.684  ;303.603  
2023;     Mayo  ;;7.569.816  ;5.322.882  ;1.941.378  ;305.556  
2023;     Junio  ;;7.664.092  ;5.149.969  ;2.229.390  ;284.733  
2023;     Julio  ;;7.762.361  ;5.423.879  ;2.057.134  ;281.348  
2023;     Agosto  ;;7.612.225  ;4.936.415  ;2.332.551  ;343.259  
2023;     Septiembre  ;;7.119.470  ;4.714.194  ;2.067.264  ;338.012  
2023;     Octubre  ;;7.321.758  ;4.807.938  ;2.221.141  ;292.679
